tgl_inputer,kd_faktur,kd_customer,kd_barang,qty,satuan,no_lot,tgl_exp,upload_sts,data_sts,barang_sts,create_at
6/3/2025,D25003660,SEDU03,QAGUS02,3,Btl,ADV160E053,1/6/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003661,ERAT01,QCURA03,10,Btl,JAK5A06003,1/1/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003661,ERAT01,QLANN01,20,Pack,JUL24SDR06,1/7/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003661,ERAT01,QASIA01,20,Btl,2012407350292H,1/7/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003661,ERAT01,QREAC02,20,Btl,25012204,1/12/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003661,ERAT01,QBENA01,25,Kg,0,1/1/1000,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003662,ERAT01,QMUTU01,5,Pack,2023ES0410,1/4/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003662,ERAT01,QBRAP01,10,Btl,050824F,1/8/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003663,ILHA06,QQIUM08,100,Btl,20241212,1/12/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003663,ILHA06,QQIUM08,200,Btl,20250207,1/2/2030,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003664,SAHA34,QSCOR03,50,Btl,JAK4H14056,1/8/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003664,SAHA34,QREGE02,48,Btl,2471Q11603,1/11/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003664,SAHA34,QMETI02,40,Pack,56783,1/11/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003664,SAHA34,QROUN04,50,Btl,502009,1/2/2030,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003665,SEKA01,QAGUS01,33,Btl,ADV088E047,1/3/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003665,SEKA01,QAGUS01,17,Btl,ADV271E050,1/10/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003665,SEKA01,QMULS84,75,Roll,0,1/1/1000,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003665,SEKA01,QTANG47,42,Pcs,0,1/1/1000,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003666,ALFI02,QSTAR01,11,Gal,102090516,1/2/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,T25000370,FEBB02,QCASH02,10,Btl,0,1/8/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,T25000370,FEBB02,QCASH01,10,Btl,0,1/2/2030,1,1,1,"2025-03-06 09:17:00"
6/3/2025,T25000371,MAHK07,QSIDA11,45,Btl,B01SIDAMECTR,1/2/2030,1,1,1,"2025-03-06 09:17:00"
6/3/2025,T25000372,KARI09,QCAST04,50,Pack,220328,1/8/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,T25000372,KARI09,QELAZ02,100,Pack,220805,1/10/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,T25000372,KARI09,QPIRA01,60,Btl,230425,1/7/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,T25000372,KARI09,QDESA01,70,Btl,NISL240401,1/6/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,T25000373,JAYA23,QCASH02,100,Btl,0,1/8/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,T25000374,SAPR04,QKNO301,1,Pack,0,1/12/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,T25000375,MEGA09,QGLUF03,220,Btl,222020002,1/11/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,Z25000575,TANI89,QQIUM03,20,Btl,20240507,1/5/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,Z25000575,TANI89,QQIUM07,10,Btl,20240507,1/7/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,Z25000575,TANI89,QQIUM08,200,Btl,20241212,1/12/2029,1,1,1,"2025-03-06 09:17:00"
